issue_id,report_id,issue_date,issue_type,severity,source_system,assigned_analyst_id,resolution_hours,issue_status,root_cause
DQI00001,RPT0091,2025-08-14,Delayed Data,Medium,Client Database,A008,104,Open,Data Entry
DQI00002,RPT0027,2025-03-13,Duplicate Records,Medium,Data Warehouse,A019,64,Open,Mapping Issue
DQI00003,RPT0081,2026-06-13,Delayed Data,Low,CRM,A014,94,Under Investigation,Source System
DQI00004,RPT0031,2024-11-21,Duplicate Records,Low,Core Banking,A004,12,Resolved,Unknown
DQI00005,RPT0084,2024-10-29,Missing Data,High,ERP,A002,32,Resolved,Source System
DQI00006,RPT0098,2024-12-20,Duplicate Records,Medium,HR System,A002,49,Resolved,Data Entry
DQI00007,RPT0068,2026-05-09,Delayed Data,Medium,Risk System,A025,37,Open,Unknown
DQI00008,RPT0028,2026-02-03,Missing Data,Medium,ERP,A024,23,Resolved,Transformation Logic
DQI00009,RPT0005,2025-04-13,Duplicate Records,Low,Client Database,A016,118,Resolved,Database Issue
DQI00010,RPT0104,2026-05-23,Invalid Format,High,Data Warehouse,A002,112,Under Investigation,Database Issue
DQI00011,RPT0107,2026-02-18,Delayed Data,Low,CRM,A008,108,Open,Source System
DQI00012,RPT0113,2026-02-12,Incorrect Values,Critical,Data Warehouse,A017,73,Resolved,Mapping Issue
DQI00013,RPT0015,2025-12-01,Missing Data,Medium,Data Warehouse,A024,30,Under Investigation,Transformation Logic
DQI00014,RPT0067,2024-09-20,Invalid Format,Low,CRM,A020,8,Under Investigation,Transformation Logic
DQI00015,RPT0080,2025-02-03,Incorrect Values,Medium,ERP,A003,15,Open,Database Issue
DQI00016,RPT0070,2026-05-31,Invalid Format,Low,Client Database,A025,78,Resolved,Database Issue
DQI00017,RPT0036,2026-06-16,Data Mismatch,Low,HR System,A015,83,Under Investigation,Transformation Logic
DQI00018,RPT0102,2025-05-01,Missing Data,Medium,ERP,A015,30,Resolved,Unknown
DQI00019,RPT0022,2024-12-13,Incorrect Values,Low,Core Banking,A012,52,Open,Data Entry
DQI00020,RPT0113,2024-10-29,Null Values,Low,CRM,A001,64,Open,Transformation Logic
DQI00021,RPT0065,2026-02-23,Incorrect Values,High,Client Database,A005,85,Resolved,Data Entry
DQI00022,RPT0016,2025-02-28,Missing Data,Medium,Risk System,A017,87,Resolved,Unknown
DQI00023,RPT0084,2025-05-23,Duplicate Records,Medium,HR System,A008,74,Under Investigation,Data Entry
DQI00024,RPT0117,2025-06-23,Duplicate Records,Low,Client Database,A009,95,Open,Mapping Issue
DQI00025,RPT0022,2025-09-22,Delayed Data,Medium,Core Banking,A017,99,Open,Unknown
DQI00026,RPT0048,2024-09-27,Data Mismatch,Medium,Data Warehouse,A025,10,Open,Source System
DQI00027,RPT0031,2026-01-27,Null Values,Low,ERP,A024,105,Resolved,Mapping Issue
DQI00028,RPT0054,2025-04-09,Data Mismatch,High,HR System,A016,54,Resolved,Unknown
DQI00029,RPT0028,2025-03-10,Invalid Format,High,Risk System,A008,53,Resolved,Source System
DQI00030,RPT0056,2026-05-18,Missing Data,Medium,HR System,A003,93,Resolved,Database Issue
DQI00031,RPT0004,2025-01-02,Invalid Format,Low,Client Database,A008,30,Open,Transformation Logic
DQI00032,RPT0033,2024-09-13,Null Values,Medium,HR System,A002,26,Resolved,Mapping Issue
