request_id,report_id,analyst_id,request_date,completion_date,request_type,priority,status,resolution_hours,sla_hours,sla_status,sql_execution_time_seconds,change_requests,requester_department
REQ000001,RPT0104,A019,2025-02-24,2025-02-26,New Report,Medium,Completed,52,72,Within SLA,4.7,0,Sales
REQ000002,RPT0029,A025,2026-07-03,2026-07-04,New Report,Critical,Completed,15,24,Within SLA,3.01,1,Legal
REQ000003,RPT0073,A020,2025-11-04,2025-11-07,Access Request,Medium,Completed,67,72,Within SLA,5.22,0,Finance
REQ000004,RPT0011,A006,2024-10-21,2024-10-21,Report Enhancement,Critical,Completed,8,24,Within SLA,9.64,0,Compliance
REQ000005,RPT0038,A002,2024-10-26,2024-10-28,Change Request,Medium,Completed,38,72,Within SLA,2.82,1,Compliance
REQ000006,RPT0101,A021,2026-03-12,2026-03-15,Data Correction,High,In Progress,74,48,Breached,2.82,3,Compliance
REQ000007,RPT0010,A002,2025-09-02,2025-09-04,Access Request,Low,Completed,43,120,Within SLA,10.03,2,Risk
REQ000008,RPT0089,A010,2026-05-16,2026-05-19,Data Correction,Medium,Pending,70,72,Within SLA,5.68,0,Technology
REQ000009,RPT0095,A011,2024-10-13,2024-10-14,Data Correction,Medium,Completed,17,72,Within SLA,2.39,2,Sales
REQ000010,RPT0098,A022,2026-04-03,2026-04-07,New Report,Low,Cancelled,97,120,Within SLA,4.85,0,Sales
REQ000011,RPT0036,A006,2025-10-08,2025-10-12,Report Enhancement,Low,In Progress,84,120,Within SLA,2.4,0,Technology
REQ000012,RPT0086,A004,2026-04-07,2026-04-09,Report Issue,High,Cancelled,38,48,Within SLA,2.4,0,Risk
REQ000013,RPT0071,A002,2024-11-26,2024-11-28,Data Correction,Medium,Completed,54,72,Within SLA,3.93,2,Client Services
REQ000014,RPT0001,A022,2024-11-28,2024-12-01,New Report,Medium,Completed,61,72,Within SLA,0.87,0,Legal
REQ000015,RPT0057,A025,2026-01-15,2026-01-16,Access Request,Medium,Completed,35,72,Within SLA,0.99,0,Finance
REQ000016,RPT0016,A001,2025-08-25,2025-08-26,Change Request,Medium,Completed,30,72,Within SLA,2.24,1,Compliance
REQ000017,RPT0108,A004,2025-10-22,2025-10-25,Report Issue,Low,Completed,94,120,Within SLA,1.63,0,Client Services
REQ000018,RPT0035,A014,2024-12-27,2024-12-30,New Report,Medium,Completed,71,72,Within SLA,4.14,0,Client Services
