report_id,report_name,report_category,business_department,source_system,frequency,created_date,active_flag
RPT0001,Compliance Analysis Report,Compliance,Technology,Core Banking,Daily,2024-01-24,Y
RPT0002,Risk Analysis Report,Risk,Compliance,HR System,Quarterly,2025-04-02,N
RPT0003,Management Dashboard Report,Management,Risk,Core Banking,Weekly,2024-10-25,Y
RPT0004,Management Metrics Report,Management,Legal,Core Banking,Quarterly,2025-07-25,N
RPT0005,Regulatory Summary Report,Regulatory,Risk,Client Database,Quarterly,2026-05-04,Y
RPT0006,Compliance Performance Report,Compliance,Operations,ERP,Weekly,2025-03-09,N
RPT0007,Risk Performance Report,Risk,Technology,Data Warehouse,Quarterly,2024-04-29,Y
RPT0008,Risk Performance Report,Risk,Operations,HR System,Monthly,2025-03-18,Y
RPT0009,Financial Analysis Report,Financial,Technology,ERP,Quarterly,2025-02-22,Y
RPT0010,Management Analysis Report,Management,Legal,Risk System,Weekly,2024-07-11,Y
RPT0011,Compliance Analysis Report,Compliance,Legal,Client Database,Weekly,2026-06-27,Y
RPT0012,Regulatory Summary Report,Regulatory,Legal,Risk System,Daily,2024-10-08,Y
RPT0013,Client Performance Report,Client,Operations,Core Banking,Monthly,2026-08-15,Y
RPT0014,Financial Summary Report,Financial,Operations,CRM,Quarterly,2026-07-17,Y
RPT0015,Compliance Metrics Report,Compliance,Risk,ERP,Quarterly,2026-05-23,Y
RPT0016,Regulatory Metrics Report,Regulatory,Technology,ERP,Weekly,2023-12-09,Y
RPT0017,Client Analysis Report,Client,Client Services,Client Database,Quarterly,2026-03-24,Y
RPT0018,Operational Summary Report,Operational,Operations,Core Banking,Daily,2026-05-03,Y
RPT0019,Risk Summary Report,Risk,Finance,CRM,Daily,2024-05-12,Y
RPT0020,Financial Performance Report,Financial,Human Resources,CRM,Weekly,2025-11-27,Y
RPT0021,Management Dashboard Report,Management,Compliance,Client Database,Weekly,2024-09-04,N
RPT0022,Operational Dashboard Report,Operational,Technology,ERP,Daily,2024-04-30,Y
RPT0023,Management Dashboard Report,Management,Human Resources,Data Warehouse,Quarterly,2025-08-08,N
RPT0024,Compliance Performance Report,Compliance,Operations,CRM,Quarterly,2025-04-01,Y
RPT0025,Compliance Performance Report,Compliance,Compliance,ERP,Weekly,2024-10-13,N
RPT0026,Operational Dashboard Report,Operational,Risk,Core Banking,Quarterly,2026-05-11,Y
RPT0027,Compliance Performance Report,Compliance,Client Services,Risk System,Daily,2026-07-25,Y
RPT0028,Management Metrics Report,Management,Finance,CRM,Weekly,2026-01-02,Y
RPT0029,Client Dashboard Report,Client,Client Services,ERP,Quarterly,2024-07-27,Y
RPT0030,Operational Dashboard Report,Operational,Finance,Data Warehouse,Monthly,2026-07-19,N
